2017-11-7 03:51:12          520        519 1048576
2017-11-7 03:51:13          516        516 1048576
2017-11-7 01:48:04          513        513 1048576
2017-11-7 01:47:58          513        512 1048576
2017-11-7 03:50:56          505        504 1048576
2017-11-7 03:50:54          504        504 1048576
2017-11-7 03:50:52          504        504 1048576
2017-11-7 01:47:45          498        498 1048576
2017-11-7 03:51:07          495        494 1048576
2017-11-7 01:47:56          494        494 1048576
2017-11-7 01:43:59          493        493 1048576
2017-11-7 03:50:55          492        492 1048576
2017-11-7 01:48:00          488        488 1048576
2017-11-7 01:47:31          487        487 1048576
2017-11-7 03:51:16          484        484 1048576
2017-11-7 01:48:05          484        484 1048576
2017-11-7 01:43:56          484        484 1048576
2017-11-7 01:43:50          484        483 1048576
2017-11-7 01:44:01          483        483 1048576
2017-11-7 01:47:51          481        481 1048576
2017-11-7 01:44:02          481        481 1048576
2017-11-7 03:51:17          480        480 1048576
2017-11-7 03:51:15          480        480 1048576
2017-11-7 01:47:55          480        480 1048576
2017-11-7 01:43:55          480        480 1048576
2017-11-7 01:47:29          479        479 1048576
2017-11-7 01:43:53          478        478 1048576
2017-11-7 01:43:46          478        476 1048576
NFSv4 Max operations KB/sec :  2570
Total_NFSv3_ops:  711988741220
NFSv3 getattr:  313298348525
NFSv3 getattr Ratio:  0.440032728590
NFSv3 access:  278068023976
NFSv3 access Ratio:  0.390551153238
NFSv3 write:  13870295058
NFSv3 write Ratio:  0.019481059537
NFSv3 read:  6565990573
NFSv3 read Ratio:  0.009222042699
NFSv3 readdirplus:  7383580792
NFSv3 readdirplus Ratio:  0.010370361726
NFSv3 lookup:  63272299335
NFSv3 lookup Ratio:  0.088866994197
Total_NFSv4_ops:  171578321
NFSv4 getattr:  48824729
NFSv4 getattr Ratio:  0.284562342814
NFSv4 access:  12919605
NFSv4 access Ratio:  0.075298586235
NFSv4 write:  137378
